_id,date,gender,race,agebook,agecurr
188,1/1/2018,M,B,20,20
189,1/1/2018,M,B,41,42
190,1/1/2018,M,B,39,40
191,1/1/2018,M,B,27,28
192,1/1/2018,M,B,48,49
193,1/1/2018,M,W,23,23
194,1/1/2018,M,B,31,31
195,1/1/2018,M,W,23,24
196,1/1/2018,M,W,35,35
197,1/1/2018,M,W,33,33
198,1/1/2018,M,B,23,24
199,1/1/2018,M,B,26,26
200,1/1/2018,M,B,29,30
201,1/1/2018,M,B,24,24
202,1/1/2018,M,B,28,29
203,1/1/2018,M,B,31,32
204,1/1/2018,M,B,25,25
205,1/1/2018,M,B,48,49
206,1/1/2018,M,W,33,34
207,1/1/2018,M,B,27,27
208,1/1/2018,M,B,31,32
209,1/1/2018,M,U,25,25
210,1/1/2018,M,B,58,58
211,1/1/2018,M,B,60,60
212,1/1/2018,M,W,26,26
213,1/1/2018,M,W,37,37
214,1/1/2018,M,W,50,50
215,1/1/2018,M,W,35,36
216,1/1/2018,M,B,50,50
217,1/1/2018,M,U,29,29
218,1/1/2018,M,W,57,57
219,1/1/2018,M,B,20,20
220,1/1/2018,M,W,28,28
221,1/1/2018,M,W,48,48
222,1/1/2018,M,W,18,18
223,1/1/2018,M,B,32,32
224,1/1/2018,M,B,60,60
225,1/1/2018,M,,27,27
226,1/1/2018,M,B,28,28
227,1/1/2018,M,B,25,25
228,1/1/2018,M,B,45,46
229,1/1/2018,M,B,28,28
230,1/1/2018,M,B,19,19
231,1/1/2018,M,W,35,35
232,1/1/2018,M,B,57,57
233,1/1/2018,M,W,50,51
234,1/1/2018,M,W,22,22
235,1/1/2018,M,B,26,26
236,1/1/2018,M,B,34,34
237,1/1/2018,M,B,20,20
238,1/1/2018,M,W,18,19
239,1/1/2018,M,B,35,36
240,1/1/2018,M,B,66,66
241,1/1/2018,M,B,32,32
242,1/1/2018,M,B,29,29
243,1/1/2018,M,W,25,25
244,1/1/2018,M,W,36,36
245,1/1/2018,M,B,47,47
246,1/1/2018,M,B,64,64
247,1/1/2018,M,W,27,27
248,1/1/2018,M,B,20,20
249,1/1/2018,M,B,20,20
250,1/1/2018,M,B,28,28
251,1/1/2018,M,W,30,30
252,1/1/2018,M,W,67,67
253,1/1/2018,M,B,47,47
254,1/1/2018,M,W,46,46
255,1/1/2018,M,B,18,18
256,1/1/2018,M,H,25,25
257,1/1/2018,M,W,35,35
258,1/1/2018,M,W,34,34
259,1/1/2018,M,W,41,41
260,1/1/2018,M,B,31,31
261,1/1/2018,M,B,38,38
262,1/1/2018,M,W,26,26
263,1/1/2018,M,B,40,40
